Medicine, Cost, Composition, Dosage
Baclofen,35, Metoprolol Tartrate, 5-10mg once/day
Clopidogrel,62, Amlodipine Besylate, 5-10mg once/day
Metoprolol,44, Risperidone, 500mg every 4-6 hours (up to 4g/day)
Lamotrigine,48, Acarbose, 500mg every 4-6 hours (up to 4g/day)
Verapamil,63, Haloperidol, 300-1200mg 3 times/day
Chlorpromazine,56, Risperidone, 500-2000mg/day
Trazodone,91, Montelukast Sodium, 20-80mg once/day
Levothyroxine,38, Enalapril Maleate, 75mg once/day
Glyburide,72, Benazepril Hydrochloride, 5-20mg once/day
Trazodone,35, Clonazepam, 10-40mg once/day
Propranolol,80, Lisinopril, 5-10mg once/day
Propranolol,47, Atorvastatin Calcium, 40mg once/day
Atorvastatin,30, Metformin Hydrochloride, 400-600mg every 4-6 hours (up to 3.2g/day)
Enalapril,80, Nifedipine, 10-20mg once/day
Metformin,78, Donepezil Hydrochloride, 5-30mg once/day
Propranolol,34, Glyburide, 5-10mg once/day
Miglitol,49, Clopidogrel Bisulfate, 500mg every 4-6 hours (up to 4g/day)
Paracetamol,41, Pantoprazole Sodium, 40-60mg once/day
Captopril,37, Trazodone Hydrochloride, 1-4mg once/day
Repaglinide,11, Alprazolam, 6.25-50mg 2-3 times/day
Ibuprofen,40, Amlodipine Besylate, 2-6mg once/day
Lisinopril,51, Donepezil Hydrochloride, 25-800mg once/day
Ziprasidone,91, Furosemide, 10-40mg once/day
Glibenclamide,19, Lisinopril, 5-10mg once/day
Ranitidine,46, Amlodipine Besylate, 5-10mg once/day
Lercanidipine,64, Olanzapine, 5-10mg once/day
Duloxetine,33, Metoprolol Tartrate, 40-320mg once/day
Miglitol,60, Quetiapine Fumarate, 2-6mg once/day
Verapamil,46, Amlodipine Besylate, 75mg once/day
Irbesartan,45, Donepezil Hydrochloride, 80-120mg 2-3 times/day
Doxycycline,50, Acetylsalicylic Acid, 1-4mg once/day
Glibenclamide,80, Acetaminophen, 10-30mg 2-3 times/day
Venlafaxine,59, Glimepiride, 12.5-25mg once/day
Miglitol,79, Lercanidipine Hydrochloride, 100mg every 12 hours (up to 200mg/day)
Simvastatin,47, Nateglinide, 500mg every 4-6 hours (up to 4g/day)
Hydrochlorothiazide,45, Voglibose, 20-80mg once/day
Metformin,44, Pantoprazole Sodium, 2.5-20mg once/day
Metoprolol,33, Furosemide, 4-8mg once/day
Lithium Carbonate,46, Nateglinide, 25-100mg once/day
Risperidone,45, Felodipine, 300-1200mg 3 times/day
Hydrochlorothiazide,39, Voglibose, 5-10mg once/day
Duloxetine,51, Levothyroxine Sodium, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Atorvastatin,55, Verapamil Hydrochloride, 75-300mg once/day
Voglibose,86, Cetirizine Hydrochloride, 20-80mg once/day
Glyburide,28, Voglibose, 1-4mg once/day
Pioglitazone,44, Pioglitazone Hydrochloride, 5-40mg once/day
Voglibose,12, Carvedilol, 75-150mg 2-3 times/day
Cetirizine,72, Benazepril Hydrochloride, 5-10mg once/day
Baclofen,77, Donepezil Hydrochloride, 8-32mg once/day
Valsartan,75, Miglitol, 25-800mg/day
Thioridazine,90, Glimepiride, 10-30mg 2-3 times/day
Risperidone,72, Glyburide, 10mg once/day
Lisinopril,67, Lithium Carbonate, 20mg once/day
Carvedilol,77, Diltiazem Hydrochloride, 0.5-2mg 2-3 times/day
Amlodipine,56, Risperidone, 40mg once/day
Losartan,84, Duloxetine Hydrochloride, 0.2-0.3g before each meal
Amlodipine,73, Quetiapine Fumarate, 0.5-2mg 2-3 times/day
Clopidogrel,70, Propranolol Hydrochloride, 40-320mg once/day
Metformin,74, Losartan Potassium, 37.5-225mg once/day
Telmisartan,66, Amlodipine Besylate, 600-1800mg/day
Risperidone,103, Baclofen, 0.5-4mg before each meal
Lamotrigine,72, Glibenclamide, 40-160mg once/day
Nisoldipine,91, Ziprasidone Hydrochloride, 37.5-225mg once/day
Diltiazem,83, Aripiprazole, 10-30mg 2-3 times/day
Pregabalin,66, Chlorpromazine Hydrochloride, 0.25-2mg 2-3 times/day
Gabapentin,66, Diltiazem Hydrochloride, 10-80mg once/day
Nisoldipine,47, Miglitol, 40-160mg once/day
Metformin,24, Enalapril Maleate, 500mg on day 1 followed by 250mg once/day for 4 days
Verapamil,58, Rosiglitazone Maleate, 150-300mg once/day
Clopidogrel,83, Carvedilol, 25-100mg before each meal
Voglibose,83, Glibenclamide, 2.5-20mg once/day
Fluoxetine,54, Risperidone, 25-100mg once/day
Metformin,54, Losartan Potassium, 10-80mg once/day
Venlafaxine,50, Thioridazine Hydrochloride, 120mg before each meal
Aspirin,26, Captopril, 500-3000mg/day
Donepezil,52, Haloperidol, 500-3000mg/day
Omeprazole,99, Nisoldipine, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Levothyroxine,33, Lithium Carbonate, 75-300mg once/day
Metformin,77, Montelukast Sodium, 1-100mg/day
Glyburide,53, Ibuprofen, 1-4mg once/day
Pioglitazone,65, Ziprasidone Hydrochloride, 10-30mg 2-3 times/day
Trazodone,56, Olanzapine, 6-12mg once/day
Trazodone,59, Isradipine, 10-80mg 2-3 times/day
Rosiglitazone,50, Lisinopril Dihydrate, 0.2-0.3g before each meal
Propranolol,76, Acarbose, 8-32mg once/day
Olanzapine,51, Lamotrigine, 10-30mg 2-3 times/day
Pantoprazole,49, Ramipril, 12.5-150mg 3 times/day
Metformin,85, Rosiglitazone Maleate, 5-10mg once/day
Furosemide,45, Telmisartan, 75-300mg once/day
Metformin,66, Ziprasidone Hydrochloride, 10mg once/day
Metformin,83, Thioridazine Hydrochloride, 75mg once/day
Lercanidipine,40, Lercanidipine Hydrochloride, 1-100mg/day
Benazepril,79, Duloxetine Hydrochloride, 40-160mg once/day
Ibuprofen,28, Felodipine, 500-2000mg/day
Montelukast,49, Pioglitazone Hydrochloride, 5-10mg once/day
Telmisartan,35, Acetylsalicylic Acid, 500-2000mg/day
Metoprolol,54, Verapamil Hydrochloride, 30-120mg 2-3 times/day
Valsartan,53, Haloperidol, 40-160mg once/day
Levothyroxine,76, Lamotrigine, 2.5-30mg once every 2-4 weeks
Benazepril,61, Valsartan, 150-300mg once/day
Paracetamol,79, Diltiazem Hydrochloride, 10-20mg once/day
Venlafaxine,58, Warfarin Sodium, 5-10mg 2-3 times/day
Furosemide,40, Lisinopril, 75-300mg once/day
Losartan,46, Lercanidipine Hydrochloride, 6-12mg once/day
Omeprazole,49, Pantoprazole Sodium, 25-200mcg once/day
Donepezil,49, Enalapril Maleate, 1-4mg once/day
Captopril,43, Metformin Hydrochloride, 5-30mg once/day
Rosiglitazone,74, Rosiglitazone Maleate, 12.5-150mg 3 times/day
Repaglinide,36, Lisinopril Dihydrate, 40mg once/day
Aspirin,98, Trazodone Hydrochloride, 5-40mg once/day
Candesartan,63, Voglibose, 325-650mg every 4-6 hours (up to 4g/day)
Thioridazine,53, Trazodone Hydrochloride, 0.25-2mg 2-3 times/day
Lithium Carbonate,46, Simvastatin, 10-40mg once/day
Metformin,47, Amlodipine Besylate, 2.5-20mg once/day with meal
Clopidogrel,80, Venlafaxine Hydrochloride, 8-32mg once/day
Glibenclamide,30, Atorvastatin Calcium, 25-100mg once/day
Enalapril,48, Haloperidol, 2.5-20mg once/day
Verapamil,85, Clopidogrel Bisulfate, 80-120mg 2-3 times/day
Warfarin,68, Montelukast Sodium, 12.5-25mg once/day
Acarbose,55, Lithium Carbonate, 250-500mg every 8 hours (up to 3g/day)
Lisinopril,62, Cetirizine Hydrochloride, 2.5-10mg once/day
Procardia,51, Voglibose, 400-600mg every 4-6 hours (up to 3.2g/day)
Valsartan,32, Acarbose, 5-10mg once/day
Paliperidone,47, Acetaminophen, 20-80mg once/day
Lithium Carbonate,36, Lisinopril Dihydrate, 0.5-2mg 2-3 times/day
Repaglinide,65, Haloperidol, 5-30mg once/day
Donepezil,49, Hydrochlorothiazide, 0.5-4mg before each meal
Repaglinide,64, Olanzapine, 12.5-150mg 3 times/day
Atorvastatin,60, Losartan Potassium, 0.25-2mg 2-3 times/day
Repaglinide,64, Haloperidol, 5-20mg once/day
Isradipine,43, Propranolol Hydrochloride, 75mg once/day
Paliperidone,88, Lisinopril Dihydrate, 40-160mg once/day
Enalapril,90, Duloxetine Hydrochloride, 0.2-0.3g before each meal
Venlafaxine,64, Lercanidipine Hydrochloride, 2.5-20mg once/day
Pregabalin,32, Cetirizine Hydrochloride, 500-3000mg/day
Lisinopril,48, Clonazepam, 150-300mg 2-3 times/day
Glyburide,57, Lamotrigine, 5-10mg once/day
Captopril,21, Fluoxetine Hydrochloride, 5-10mg once/day
Amlodipine,54, Propranolol Hydrochloride, 2.5-10mg once/day
Enalapril,60, Clopidogrel Bisulfate, 75-300mg once/day
Thioridazine,16, Voglibose, 150-300mg 2-3 times/day
Amoxicillin,26, Acetaminophen, 1-100mg/day
Aripiprazole,46, Candesartan Cilexetil, 20-80mg once/day
Plendil,52, Lamotrigine, 25-500mg once/day
Amoxicillin,56, Donepezil Hydrochloride, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Metformin,77, Venlafaxine Hydrochloride, 10-80mg once/day
Risperidone,61, Enalapril Maleate, 500mg every 4-6 hours (up to 4g/day)
Amlodipine,78, Lisinopril Dihydrate, 2.5-20mg once/day
Azithromycin,59, Glibenclamide, 300-1200mg 3 times/day
Metformin,67, Nifedipine, 25-100mg once/day
Telmisartan,63, Glyburide, 4-8mg once/day
Losartan,41, Lithium Carbonate, 400-600mg every 4-6 hours (up to 3.2g/day)
Enalapril,76, Voglibose, 1-100mg/day
Venlafaxine,64, Acetylsalicylic Acid, 500mg every 4-6 hours (up to 4g/day)
Metoprolol,65, Nateglinide, 40-320mg once/day
Enalapril,55, Carvedilol, 4-8mg once/day
Isradipine,48, Losartan Potassium, 25-500mg once/day
Gabapentin,55, Losartan Potassium, 500mg every 4-6 hours (up to 4g/day)
Gabapentin,83, Pioglitazone Hydrochloride, 25-800mg/day
Metformin,64, Nifedipine, 10mg once/day
Paliperidone,58, Glibenclamide, 10-30mg 2-3 times/day
Diltiazem,69, Clonazepam, 20mg once/day
Thioridazine,25, Paliperidone, 0.25-2mg 2-3 times/day
Pantoprazole,54, Pantoprazole Sodium, 0.5-2mg 2-3 times/day
Nisoldipine,72, Clopidogrel Bisulfate, 0.2-0.3g before each meal
Glyburide,46, Amlodipine Besylate, 6-12mg once/day
Verapamil,59, Olanzapine, 300-1200mg 3 times/day
Miglitol,64, Omeprazole, 30-120mg 2-3 times/day
Haloperidol,79, Montelukast Sodium, 40mg once/day
Rosiglitazone,75, Miglitol, 5-20mg once/day
Thioridazine,95, Olanzapine, 600-1800mg/day
Metformin,84, Pantoprazole Sodium, 10-40mg once/day
Propranolol,45, Lercanidipine Hydrochloride, 0.5-2mg 2-3 times/day
Donepezil,89, Olanzapine, 300-1200mg 3 times/day
Risperidone,31, Olanzapine, 10mg once/day
Irbesartan,77, Losartan Potassium, 0.25-2mg 2-3 times/day
Lamotrigine,45, Omeprazole, 500mg on day 1 followed by 250mg once/day for 4 days
Aripiprazole,45, Montelukast Sodium, 2.5-20mg once/day
Alprazolam,52, Lisinopril Dihydrate, 25-800mg once/day
Rosiglitazone,87, Thioridazine Hydrochloride, 10-80mg 2-3 times/day
Acarbose,81, Carvedilol, 1-4mg once/day
Lisinopril,38, Clopidogrel Bisulfate, 500mg every 4-6 hours (up to 4g/day)
Pregabalin,36, Glimepiride, 10mg once/day
Verapamil,77, Felodipine, 50-450mg 2-3 times/day
Lercanidipine,59, Haloperidol, 500mg every 4-6 hours (up to 4g/day)
Propranolol,67, Carvedilol, 10-20mg once/day
Propranolol,35, Irbesartan, 20-80mg once/day
Warfarin,40, Miglitol, 10-30mg 2-3 times/day
Valsartan,30, Omeprazole, 2.5-30mg once every 2-4 weeks
Carvedilol,40, Ramipril, 500mg every 4-6 hours (up to 4g/day)
Fluoxetine,49, Metformin Hydrochloride, 0.2-0.3g before each meal
Acarbose,50, Diltiazem Hydrochloride, 5-10mg once/day
Aripiprazole,55, Candesartan Cilexetil, 0.2-0.3g before each meal
Montelukast,52, Candesartan Cilexetil, 400-600mg every 4-6 hours (up to 3.2g/day)
Diltiazem,42, Omeprazole, 2-6mg once/day
Aspirin,51, Donepezil Hydrochloride, 80-120mg 2-3 times/day
Venlafaxine,37, Paliperidone, 2.5-20mg once/day with meal
Lisinopril,56, Ranitidine Hydrochloride, 30-120mg 2-3 times/day
Glimepiride,76, Acarbose, 8-32mg once/day
Donepezil,72, Furosemide, 10-20mg once/day
Aspirin,59, Amlodipine Besylate, 12.5-150mg 3 times/day
Irbesartan,53, Repaglinide, 500mg every 4-6 hours (up to 4g/day)
Acarbose,72, Gabapentin, 20mg once/day
Aspirin,30, Furosemide, 75mg once/day
Plendil,75, Fluoxetine Hydrochloride, 10-40mg once/day
Montelukast,41, Pregabalin, 10-30mg 2-3 times/day
Hydrochlorothiazide,43, Nifedipine, 5-20mg once/day
Irbesartan,24, Enalapril Maleate, 5-40mg once/day
Fluphenazine,54, Duloxetine Hydrochloride, 500mg on day 1 followed by 250mg once/day for 4 days
Aripiprazole,104, Clonazepam, 500-2000mg/day
Glibenclamide,30, Glyburide, 25-100mg once/day
Glimepiride,35, Cetirizine Hydrochloride, 0.2-0.3g before each meal
Voglibose,48, Cetirizine Hydrochloride, 10mg once/day
Risperidone,104, Lithium Carbonate, 500mg every 4-6 hours (up to 4g/day)
Hydrochlorothiazide,72, Pregabalin, 2.5-10mg once/day
Fluphenazine,36, Lisinopril, 75-150mg 2-3 times/day
Risperidone,32, Quetiapine Fumarate, 500mg every 4-6 hours (up to 4g/day)
Enalapril,74, Diltiazem Hydrochloride, 10-30mg 2-3 times/day
Paliperidone,46, Lisinopril, 40mg once/day
Telmisartan,50, Duloxetine Hydrochloride, 150-300mg once/day
Lisinopril,64, Diltiazem Hydrochloride, 600-1800mg/day
Propranolol,95, Nifedipine, 12.5-150mg 3 times/day
Cetirizine,41, Ramipril, 0.2-0.3g before each meal
Duloxetine,68, Felodipine, 0.5-2mg 2-3 times/day
Losartan,52, Risperidone, 325-650mg every 4-6 hours (up to 4g/day)
Atorvastatin,21, Lisinopril Dihydrate, 325-650mg every 4-6 hours (up to 4g/day)
Atorvastatin,59, Pioglitazone Hydrochloride, 40-320mg 2-3 times/day
Verapamil,79, Doxycycline Hyclate, 10-80mg 2-3 times/day
Cetirizine,34, Venlafaxine Hydrochloride, 10-40mg once/day
Metoprolol,38, Clonazepam, 500-3000mg/day
Atorvastatin,60, Lithium Carbonate, 5-20mg once/day
Aspirin,92, Glyburide, 500mg every 4-6 hours (up to 4g/day)
Lisinopril,41, Losartan Potassium, 10-40mg once/day
Alprazolam,55, Losartan Potassium, 2.5-20mg once/day with meal
Clonazepam,59, Captopril, 20-80mg once/day
Enalapril,75, Baclofen, 80-120mg 2-3 times/day
Ramipril,68, Ziprasidone Hydrochloride, 2.5-30mg once every 2-4 weeks
Benazepril,53, Acarbose, 5-10mg once/day
Ibuprofen,33, Fluphenazine Decanoate, 25-800mg/day
Benazepril,41, Ibuprofen, 5-10mg once/day
Fluoxetine,61, Olanzapine, 0.5-2mg 2-3 times/day
Diltiazem,81, Lamotrigine, 30-120mg 2-3 times/day
Valproic Acid,43, Repaglinide, 2.5-10mg once/day
Azithromycin,33, Haloperidol, 25-1000mg/day
Propranolol,51, Venlafaxine Hydrochloride, 10-40mg once/day
Thioridazine,54, Nateglinide, 5-40mg once/day
Glyburide,67, Levothyroxine Sodium, 10-30mg 2-3 times/day
Plendil,68, Hydrochlorothiazide, 30-120mg 2-3 times/day
Amlodipine,65, Propranolol Hydrochloride, 25-500mg once/day
Captopril,69, Valproic Acid, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Metformin,75, Nifedipine, 25-100mg once/day
Irbesartan,78, Nifedipine, 10-30mg 2-3 times/day
Ranitidine,50, Acarbose, 5-30mg once/day
Nisoldipine,100, Captopril, 6.25-50mg 2-3 times/day
Losartan,30, Ziprasidone Hydrochloride, 5-10mg once/day
Venlafaxine,38, Thioridazine Hydrochloride, 10mg once/day
Enalapril,74, Olanzapine, 5-10mg once/day
Telmisartan,64, Atorvastatin Calcium, 10mg once/day
Diltiazem,89, Ziprasidone Hydrochloride, 25-500mg once/day
Rosiglitazone,76, Lisinopril Dihydrate, 500mg on day 1 followed by 250mg once/day for 4 days
Olanzapine,49, Furosemide, 75mg once/day
Furosemide,40, Quetiapine Fumarate, 500mg every 4-6 hours (up to 4g/day)
Pioglitazone,31, Captopril, 25-800mg/day
Metformin,55, Metoprolol Tartrate, 40-320mg 2-3 times/day
Verapamil,87, Quetiapine Fumarate, 15-45mg once/day
Alprazolam,42, Rosiglitazone Maleate, 250-500mg every 8 hours (up to 3g/day)
Thioridazine,71, Nifedipine, 12.5-25mg once/day
Ranitidine,74, Fluphenazine Decanoate, 10-80mg once/day
Olanzapine,38, Cetirizine Hydrochloride, 40-60mg once/day
Gabapentin,86, Voglibose, 75-300mg once/day
Captopril,62, Atorvastatin Calcium, 25-200mcg once/day
Valproic Acid,42, Venlafaxine Hydrochloride, 250-500mg every 8 hours (up to 3g/day)
Propranolol,76, Captopril, 20-80mg once/day
Clonazepam,76, Cetirizine Hydrochloride, 25-1000mg/day
Isradipine,70, Hydrochlorothiazide, 20-80mg once/day
Levothyroxine,65, Miglitol, 10mg once/day
Verapamil,61, Valproic Acid, 500-2000mg/day
Thioridazine,71, Azithromycin, 2.5-20mg once/day
Lercanidipine,96, Amlodipine Besylate, 25-100mg before each meal
Pregabalin,70, Repaglinide, 10-30mg 2-3 times/day
Nifedipine,86, Glibenclamide, 2.5-10mg once/day
Montelukast,26, Acetaminophen, 25-100mg once/day
Captopril,56, Isradipine, 300-1200mg 3 times/day
Pioglitazone,41, Glyburide, 40-160mg once/day
Ranitidine,74, Isradipine, 0.5-4mg before each meal
Clopidogrel,57, Isradipine, 40mg once/day
Lercanidipine,53, Voglibose, 600-1800mg/day
Paracetamol,60, Metformin Hydrochloride, 40-60mg once/day
Verapamil,52, Irbesartan, 2.5-20mg once/day
Thioridazine,52, Lisinopril, 2.5-30mg once every 2-4 weeks
Haloperidol,36, Simvastatin, 2.5-20mg once/day
Enalapril,69, Amoxicillin Trihydrate, 10-20mg once/day
Furosemide,45, Chlorpromazine Hydrochloride, 20-80mg once/day
Valsartan,32, Valproic Acid, 5-10mg once/day
Alprazolam,66, Quetiapine Fumarate, 25-100mg once/day
Irbesartan,49, Alprazolam, 400-600mg every 4-6 hours (up to 3.2g/day)
Duloxetine,11, Enalapril Maleate, 40-320mg 2-3 times/day
Donepezil,69, Chlorpromazine Hydrochloride, 5-40mg once/day
Thioridazine,48, Nateglinide, 10-40mg once/day
Captopril,41, Clonazepam, 25-800mg/day
Amlodipine,38, Simvastatin, 5-10mg once/day
Lamotrigine,58, Ranitidine Hydrochloride, 5-10mg once/day
Venlafaxine,66, Acarbose, 75mg once/day
Warfarin,57, Fluoxetine Hydrochloride, 20-80mg once/day
Trazodone,82, Benazepril Hydrochloride, 1-100mg/day
Procardia,58, Doxycycline Hyclate, 5-10mg once/day
Felodipine,43, Nifedipine, 10-40mg once/day
Venlafaxine,67, Duloxetine Hydrochloride, 25-800mg/day
Omeprazole,98, Risperidone, 2.5-20mg once/day
Chlorpromazine,63, Clopidogrel Bisulfate, 500mg every 4-6 hours (up to 4g/day)
Pregabalin,82, Acetylsalicylic Acid, 25-100mg once/day
Candesartan,65, Risperidone, 10-80mg once/day
Trazodone,34, Donepezil Hydrochloride, 0.25-2mg 2-3 times/day
Paliperidone,53, Pioglitazone Hydrochloride, 40-320mg 2-3 times/day
Acarbose,10, Acetylsalicylic Acid, 25-100mg once/day
Nifedipine,41, Lisinopril Dihydrate, 5-10mg once/day
Paliperidone,78, Furosemide, 2-6mg once/day
Enalapril,60, Valproic Acid, 8-32mg once/day
Donepezil,43, Propranolol Hydrochloride, 6-12mg once/day
Captopril,61, Glibenclamide, 0.2-0.3g before each meal
Glimepiride,40, Metformin Hydrochloride, 0.5-4mg before each meal
Atorvastatin,46, Nateglinide, 40-320mg 2-3 times/day
Ziprasidone,62, Captopril, 5-10mg once/day
Felodipine,56, Hydrochlorothiazide, 0.2-0.3g before each meal
Amlodipine,53, Amlodipine Besylate, 600-1800mg/day
Lercanidipine,56, Captopril, 30-120mg 2-3 times/day
Lisinopril,53, Alprazolam, 100mg every 12 hours (up to 200mg/day)
Verapamil,68, Donepezil Hydrochloride, 10-80mg once/day
Captopril,36, Carvedilol, 500mg every 4-6 hours (up to 4g/day)
Acarbose,34, Benazepril Hydrochloride, 300-1200mg 3 times/day
Montelukast,64, Venlafaxine Hydrochloride, 150-300mg once/day
Nifedipine,70, Acetaminophen, 250-500mg every 8 hours (up to 3g/day)
Fluphenazine,44, Metformin Hydrochloride, 4-8mg once/day
Chlorpromazine,72, Lisinopril Dihydrate, 500-2000mg/day
Captopril,43, Nifedipine, 12.5-150mg 3 times/day
Alprazolam,10, Pregabalin, 500mg every 4-6 hours (up to 4g/day)
Verapamil,26, Acetylsalicylic Acid, 4-8mg once/day
Fluphenazine,71, Candesartan Cilexetil, 150-300mg 2-3 times/day
Nisoldipine,30, Lercanidipine Hydrochloride, 600-1800mg/day
Doxycycline,53, Chlorpromazine Hydrochloride, 0.2-0.3g before each meal
Cetirizine,47, Rosiglitazone Maleate, 25-800mg once/day
Benazepril,53, Lisinopril Dihydrate, 75-150mg 2-3 times/day
Paracetamol,57, Amlodipine Besylate, 10-30mg 2-3 times/day
Benazepril,54, Diltiazem Hydrochloride, 25-800mg/day
Propranolol,31, Montelukast Sodium, 5-10mg once/day
Furosemide,48, Warfarin Sodium, 5-10mg once/day
Amlodipine,67, Omeprazole, 10-40mg once/day
Lercanidipine,16, Carvedilol, 10-40mg once/day
Metformin,81, Candesartan Cilexetil, 10-30mg 2-3 times/day
Alprazolam,62, Metformin Hydrochloride, 40mg once/day
Aspirin,51, Enalapril Maleate, 8-32mg once/day
Diltiazem,70, Felodipine, 5-20mg once/day
Felodipine,54, Irbesartan, 2.5-10mg once/day
Losartan,51, Losartan Potassium, 100mg every 12 hours (up to 200mg/day)
Losartan,68, Aripiprazole, 500mg every 4-6 hours (up to 4g/day)
Quetiapine,81, Nifedipine, 5-10mg once/day
Gabapentin,60, Losartan Potassium, 10-80mg once/day
Chlorpromazine,78, Pioglitazone Hydrochloride, 20-80mg once/day
Amoxicillin,44, Captopril, 75-150mg 2-3 times/day
Verapamil,32, Lamotrigine, 2.5-20mg once/day with meal
Risperidone,57, Duloxetine Hydrochloride, 40mg once/day
Alprazolam,39, Ranitidine Hydrochloride, 15-45mg once/day
Omeprazole,71, Irbesartan, 10-30mg 2-3 times/day
Valsartan,62, Donepezil Hydrochloride, 6-12mg once/day
Ramipril,81, Metformin Hydrochloride, 150-300mg 2-3 times/day
Lamotrigine,34, Azithromycin, 10-80mg 2-3 times/day
Lisinopril,36, Lithium Carbonate, 120mg before each meal
Plendil,77, Ramipril, 40mg once/day
Clonazepam,61, Voglibose, 0.25-2mg 2-3 times/day
Metoprolol,44, Atorvastatin Calcium, 40-320mg once/day
Ranitidine,63, Trazodone Hydrochloride, 500mg every 4-6 hours (up to 4g/day)
Baclofen,66, Rosiglitazone Maleate, 0.5-4mg before each meal
Warfarin,86, Thioridazine Hydrochloride, 2.5-20mg once/day
Lercanidipine,40, Lercanidipine Hydrochloride, 6.25-50mg 2-3 times/day
